kr_id,kr_subsection,old_id,authorityID,json_key,title,category,alt
#,,J19nB062,CA0005761,JB062,占察善惡業報經行法,,T0839+X1485
#,,J19nB063,CA0005762,JB063,讚禮地藏菩薩懺願儀,,X1486
#,,J19nB064,CA0005763,JB064,菩薩戒本經箋要,,T24n1488_p1047a25+X0702
#,,J19nB065,CA0005764,JB065,沙彌十戒威儀錄要,,X1121
#,,J19nB066,CA0005765,JB066,四分律藏大小持戒犍度略釋,,X0745
#,,J19nB067,CA0005766,JB067,大乘止觀法門釋要,,X0905
#,,J19nB068,CA0005767,JB068,占察善惡業報經義疏,,X0370+X0371
#,,J19nB069,CA0005768,JB069,准提淨業,,X1077
#,,J19nB070,CA0005769,JB070,三經解,,X0666+X0670+X0672
#,,J19nB071,CA0005770,JB071,佛說齋經科註,,X0749
#,,J19nB072,CA0005771,JB072,因明入正理論解,,X0856
#,,J19nB073,CA0005772,JB073,八識規矩百法明門纂釋,,X0894+X0803
#,,J19nB074,CA0005773,JB074,相宗八要,,X0899
#,,J19nB075,CA0005774,JB075,八識規矩頌略說,,X0891
#,,J19nB076,CA0005775,JB076,相宗八要解,,X0804+X0827+X0830+X0900+X0832+X0856+X0861+X0890
#,,J19nB077,CA0005776,JB077,相宗八要直解,,X0859+X0805+X0828+X0831+X0833+X0862+X0895+X0901
#,,J20nB078,CA0005777,JB078,淨土資糧全集,,X1162
#,,J20nB079,CA0005778,JB079,彌陀要解,,T1762
#,,J20nB080,CA0005779,JB080,彌陀句解,,X0421
#,,J20nB081,CA0005780,JB081,念佛直指,,T1974
#,,J20nB082,CA0005781,JB082,西方直指,,X1163
#,,J20nB083,CA0005782,JB083,淨土三論,,T1961+T1967+T1975+X61n1164_p0745b07
#,,J20nB084,CA0005783,JB084,淨土指歸集,,X1154
#,,J20nB085,CA0005784,JB085,天如和尚淨土或問,,T1972
#,,J20nB086,CA0005785,JB086,龍舒淨土文,,T1970
#,,J20nB087,CA0005786,JB087,三時繫念,,X1464
#,,J20nB088,CA0005787,JB088,肇論,,T1858
#,,J20nB089,CA0005788,JB089,大乘起信論裂網疏,,T1850
#,,J20nB092,CA0005789,JB092,註心賦,,X1231
#,,J20nB093,CA0005790,JB093,佛說盂蘭盆經新疏,,X0377
#,,J20nB094,CA0005791,JB094,三千有門頌略解,,X0954
#,,J20nB099,CA0005795,JB099,南宋江陰軍乾明院羅漢尊號碑,,L1651
#,,J20nB100,CA0005796,JB100,寂音尊者智證傳,,X1235
#,,J20nB101,CA0005797,JB101,禪林僧寶傳,,X1560+X1234
#,,J20nB102,CA0005798,JB102,大明高僧傳,,T2062
#,,J20nB104,CA0005800,JB104,教外別傳,,X1580
#,,J21nB105,CA0005801,JB105,成唯識論俗詮,,X0820
#,,J21nB106,CA0005802,JB106,佛祖綱目,,X1594
#,,J21nB107,CA0005803,JB107,佛祖宗派世譜,,X1602
#,,J21nB108,CA0005804,JB108,居士分燈錄,,X1607
#,,J21nB111,CA0005806,JB111,佛法金湯編,,X1628
#,,J22nB112,CA0005807,JB112,歸元直指集,,X1156
#,,J22nB113,CA0005808,JB113,佛果圓悟禪師碧巖集,,T2003
#,,J22nB114,CA0005809,JB114,紫栢老人集,,X1452
#,,J22nB115,CA0005810,JB115,憨山大師全集,,X1456
#,,J22nB117,CA0005811,JB117,憨山老人年譜自敘實錄,,B0085
#,,J23nB119,CA0005813,JB119,見聞錄,,X1641
#,,J23nB121,CA0005814,JB121,紫柏尊者別集,,X1453
#,,J23nB123,CA0005815,JB123,祖庭嫡傳指南,,X1618
#,,J23nB124,CA0005816,JB124,高僧摘要,,X1626
#,,J23nB126,CA0005819,JB126,千松筆記,,X1287
#,,J23nB130,CA0005821,JB130,頓悟入道要門論諸方門人參問語錄,,X1223+X1224
#,,J23nB131,CA0005822,JB131,正法眼藏,,X1309
#,,J23nB132,CA0005823,JB132,人天眼目,,T2006
#,,J23nB133,CA0005824,JB133,林間錄　後集,,X1624+X1625
#,,J24nB136,CA0005827,JB136,五燈會元,,X1565
#,,J24nB139,CA0005830,JB139,楚石禪師語錄,,X1420
#,,J24nB140,CA0005831,JB140,白雲守端禪師語錄,,X1351
#,,J24nB141,CA0005832,JB141,虎丘隆和尚語錄,,X1358
#,,J24nB142,CA0005833,JB142,應菴和尚語錄,,X1359
#,,J24nB143,CA0005834,JB143,密菴傑禪師語錄,,T1999
#,,J24nB144,CA0005835,JB144,雲菴真淨禪師語錄,,X1342+X68n1315_p0272b20
#,,J24nB145,CA0005836,JB145,雪巖和尚語錄,,X1397
#,,J24nB146,CA0005837,JB146,高峰大師語錄,,X1400
#,,J24nB147,CA0005838,JB147,斷橋妙倫禪師語錄,,X1394
#,,J24nB148,CA0005839,JB148,瑞巖方山寶禪師語錄,,X1395
#,,J24nB149,CA0005840,JB149,元叟端禪師語錄,,X1419
#,,J24nB150,CA0005841,JB150,湖州吳山端禪師語錄,,X1449
#,,J24nB151,CA0005842,JB151,羅湖野錄,,X1577
#,,J25nB152,CA0005843,JB152,天台無見覩禪師語錄,,X1396
#,,J25nB153,CA0005844,JB153,福源石屋珙禪師語錄,,X1399
#,,J25nB157,CA0005847,JB157,愚菴及禪師語錄,,X1421
#,,J25nB158,CA0005848,JB158,恕中和尚語錄,,X1416
#,,J25nB160,CA0005850,JB160,南石和尚語錄,,X1422
#,,J25nB161,CA0005851,JB161,呆菴莊禪師語錄,,X1418
#,,J25nB162,CA0005852,JB162,笑隱訢禪師語錄,,X1367
#,,J25nB168,CA0005854,JB168,南堂了菴禪師語錄,,X1414
#,,J25nB169,CA0005855,JB169,龍池幻有禪師語錄,,L1637
#,,J25nB170,CA0005856,JB170,雪嶠禪師語錄,,L1638
#,,J25nB172,CA0005858,JB172,會稽雲門湛然澄禪師語錄,,X1444
#,,J26nB179,CA0005862,JB179,天童弘覺忞禪師語錄,,L1643
#,,J27nB195,CA0005872,JB195,南嶽山茨際禪師語錄,,L1649
#,,J27nB201,CA0005877,JB201,鼓山永覺和尚廣錄,,X1437
#,,J28nB217,CA0005892,JB217,禪林寶訓合註,,X1263
#,,J29nB228,CA0005902,JB228,佛說仁王護國般若波羅蜜經疏,,X0513
#,,J29nB250,CA0005918,JB250,弘戒法儀,,X1126
#,,J30nB251,CA0005919,JB251,法華授手,,X0623
#,,J30nB252,CA0005920,JB252,指月錄,,X1578
#,,J30nB253,CA0005921,JB253,毘尼止持會集,,X0709
#,,J30nB254,CA0005922,JB254,毘尼作持續釋,,X0730
#,,J30nB255,CA0005923,JB255,梵網初津,,X0700
#,,J30nB256,CA0005924,JB256,羯磨儀式,,X1135
#,,J30nB257,CA0005925,JB257,毘尼日用切要香乳集,,X1116
#,,J30nB258,CA0005926,JB258,沙彌律儀要略述義,,X1119
#,,J30nB261,CA0005928,JB261,二部僧授戒軌範,,X1134
#,,J31nB262,CA0005929,JB262,首楞嚴經觀心定解,,X0306
#,,J31nB263,CA0005930,JB263,楞嚴經貫攝,,X0303
#,,J31nB264,CA0005931,JB264,八十八祖道影傳贊,,X1608
#,,J31nB265,CA0005932,JB265,西方合論,,T1976
#,,J31nB266,CA0005933,JB266,莊子內篇註,,L1636
#,,J31nB270,CA0005936,JB270,大佛頂首楞嚴經臆說,,X0280
#,,J32nB274,CA0002262,JB274,明覺聰禪師語錄,,L1652
#,,J33nB278,CA0005942,JB278,增集續傳燈錄,,X1574
#,,J33nB289,CA0007959,JB289,金剛經郢說,,X0488
#,,J33nB290,CA0007960,JB290,金剛經註正訛,,X0489
#,,J33nB291,CA0005950,JB291,寶蓮淨土全書,,X1176
#,,J33nB292,CA0007966,JB292,注肇論疏,,X0870
#,,J34nB297,CA0007965,JB297,閱經十二種,,X0674
#,,J34nB302,CA0007971,JB302,南嶽單傳記,,X1596
#,,J34nB307,CA0005958,JB307,首楞嚴經如說,,X0286
#,,J35nB314,CA0007970,JB314,四分律名義標釋,,X0744
#,,J35nB315,CA0007961,JB315,四分戒本如釋,,X0717
#,,J35nB316,CA0005964,JB316,佛說梵網經菩薩心地品下略疏,,X0695
#,,J35nB317,CA0007977,JB317,沙彌律儀要略增註,,X1118
#,,J35nB318,CA0007979,JB318,沙彌學戒儀軌頌註,,X1133
#,,J35nB319,CA0007972,JB319,禮佛儀式,,X1492
#,,J35nB320,CA0007962,JB320,式叉摩那尼戒本,,X0725
#,,J35nB321,CA0005965,JB321,比丘尼戒錄,,X1132
#,,J35nB322,CA0007975,JB322,沙門日用,,X1117
#,,J35nB323,CA0007973,JB323,供諸天科儀,,X1493
#,,J35nB324,CA0007974,JB324,禮舍利塔儀式,,X1491
#,,J35nB327,CA0007967,JB327,六道集,,X1645
#,,J35nB328,CA0007963,JB328,七俱胝佛母所說準提陀羅尼經會釋,,X0446
#,,J35nB329,CA0007964,JB329,溈山警策句釋記,,X1240
#,,J35nB330,CA0007976,JB330,歸戒要集,,X1129
#,,J35nB331,CA0007969,JB331,兜率龜鏡集,,X1643
#,,J35nB332,CA0007968,JB332,觀音慈林集,,X1644
#,,J35nB333,CA0005966,JB333,般若波羅蜜多心經添足,,X0553
#,,J35nB334,CA0007980,JB334,持誦準提真言法要,,X1079
#,,J35nB335,CA0007978,JB335,八關齋法,,X1130
#,,J36nB344,CA0005974,JB344,佛說梵網經菩薩心地品合註,,X0694+X0693
#,,J36nB347,CA0005976,JB347,成唯識論觀心法要,,X0824
#,,J36nB349,CA0005977,JB349,佛說梵網經順硃,,X0699
#,,J36nB350,CA0005978,JB350,禪林寶訓順硃,,X1265
#,,J36nB360,CA0005985,JB360,建陽東苑晦臺鏡禪師語錄,,X1433
#,,J36nB361,CA0005986,JB361,壽昌見如謐禪師語錄,,X1434
#,,J37nB373,CA0005996,JB373,藥師三昧行法,,X1483
#,,J37nB374,CA0005997,JB374,準提三昧行法,,X1481
#,,J37nB375,CA0005998,JB375,金剛般若波羅蜜經部旨,,X0493
#,,J37nB376,CA0005999,JB376,藥師瑠璃光如來本願功德經直解,,X0381
#,,J37nB377,CA0006000,JB377,觀世音菩薩普門品膚說,,X0647
#,,J37nB378,CA0006001,JB378,佛說盂蘭盆經折中疏,,X0378
#,,J37nB379,CA0006002,JB379,天台傳佛心印記註,,X0969
#,,J37nB380,CA0006003,JB380,四教集註節義,,X0979
#,,J37nB381,CA0006004,JB381,釋籤緣起序指明,,X0591
#,,J37nB382,CA0006005,JB382,摩訶止觀貫義科,,X0924
#,,J37nB385,CA0006006,JB385,佛祖正傳古今捷錄,,X1595
#,,J37nB397,CA0006018,JB397,傳授三壇弘戒法儀,,X1127
#,,J37nB398,CA0006019,JB398,緇門世譜,,X1603
#,,J37nB403,CA0006023,JB403,首楞嚴經直指,,X0291
#,,J38nB404,CA0006024,JB404,楞伽阿跋多羅寶經心印,,X0334
#,,J38nB405,CA0006025,JB405,長慶宗寶禪師語錄,,X1443
#,,J38nB426,CA0006039,JB426,錦江禪燈,,X1590
#,,J39nB437,CA0006046,JB437,續燈正統,,X1582+X1583
#,,J39nB467,CA0006072,JB467,黔南會燈錄,,X1591
#,,J40nB482,CA0006077,JB482,五家宗旨纂要,,X1282
#,,J40nB489,CA0006079,JB489,博山無異禪師廣錄,,X1435
#,,J40nB496,CA0006084,JB496,成唯識論音響補遺,,X0826
#,,X01n0002,CA0005068,X0002,父子合集經,,T0320
#,,X01n0003,CA0005069,X0003,須摩提經,,T0336
#,,X01n0004,CA0005070,X0004,阿彌陀佛說呪,,T0369
#,,X01n0007,CA0005071,X0007,佛說佛名經,,T0441
#,,X01n0009,CA0005072,X0009,大華嚴長者問佛那羅延力經,,T0547
#,,X01n0016,CA0005073,X0016,大通方廣懺悔滅罪莊嚴成佛經,,T2871
#,,X01n0018,CA0005074,X0018,佛說天地八陽神咒經,,T2897
#,,X01n0022,CA0005075,X0022,佛說善惡因果經,,T2881
#,,X01n0029,CA0005076,X0029,般若波羅蜜多心經,,T0253
#,,X01n0030,CA0005077,X0030,普遍智藏般若波羅蜜多心經,,T0252
#,,X01n0031,CA0005078,X0031,佛說開覺自性般若波羅蜜多經,,T0260
#,,X01n0032,CA0005079,X0032,般若波羅密多心經,,T0254
#,,X01n0033,CA0005080,X0033,高王觀世音經,,T2898
