id,title,titlePinyin,titleEnglish,notBefore,notAfter,dzt_date
KR1a0019,吳園周易解,Wúyuán Zhōuyì jiě,Master Wúyuán's Explanations of the Zhōuyì,1100,1120,
KR1a0020,周易新講義,Zhōuyì xīn jiǎngyì,A New Lecture-Meaning of the Zhōuyì,1115,1125,
KR1a0021,紫巖易傳,Zǐyán Yìzhuàn,Master Zǐyán's Commentary on the Yì,1140,1158,
KR1a0022,讀易詳說,Dú Yì xiángshuō,Detailed Talks on Reading the Yì,1140,1155,
KR1a0023,易小傳,Yì xiǎo zhuàn,The Lesser Commentary on the Yì,1140,1160,
KR1a0024,漢上易傳,Hànshàng Yìzhuàn,Master Hànshàng's Commentary on the Yì,1116,1134,
KR1a0025,周易窺餘,Zhōuyì kuīyú,Glimpsing the Leftover of the Zhōuyì,1140,1154,
KR1a0026,易璇璣,Yì xuánjī,The Pole-Star Wheel of the Yì,1140,1146,
KR1a0027,易變體義,Yì biàntǐ yì,The Meaning of the Yì in its Changed-Body Reading,1140,1159,
KR1a0028,周易經傳集解,Zhōuyì jīngzhuàn jí jiě,Collected Explanations of the Zhōuyì Canon-and-Commentary,1170,1185,
KR1a0029,易原,Yì yuán,The Source of the Yì,1170,1180,
KR1a0030,周易古占法,Zhōuyì gǔ zhàn fǎ,The Ancient Divinatory Method of the Zhōuyì,1163,1190,
KR1a0031,原本周易本義,Yuán běn Zhōuyì běnyì,The Zhōuyì Běnyì in its Original Edition,1175,1188,
KR1a0032,別本周易本義,Bié běn Zhōuyì běnyì,The Zhōuyì Běnyì in its Alternate Edition,1175,1450,
KR1a0033,郭氏傳家易說,Guō shì chuánjiā Yì shuō,The Guō Family's Bequeathed Talks on the Yì,1130,1180,
KR1a0034,周易義海撮要,Zhōuyì yì hǎi cuō yào,Essentials Drawn from the Sea of Meanings of the Zhōuyì,1160,1170,
KR1a0035,南軒易說,Nánxuān Yì shuō,Master Nánxuān's Talks on the Yì,1160,1180,
KR1a0036,復齋易說,Fùzhāi Yì shuō,Master Fùzhāi's Talks on the Yì,1180,1200,
KR1a0037,楊氏易傳,Yángshì Yì zhuàn,Master Yáng's Tradition on the Yì,1190,1226,
KR1a0038,周易玩辭,Zhōuyì wán cí,Savoring the Wording of the Zhōuyì,1198,1202,
KR1a0039,趙氏易說,Zhàoshì Yì shuō,Master Zhào's Talks on the Yì,1180,1186,
KR1a0040,誠齋易傳,Chéngzhāi Yì zhuàn,Master Chéngzhāi's Tradition on the Yì,1180,1188,
KR1a0041,大易粹言,Dà Yì cuì yán,Distilled Words on the Great Yì,1175,1175,
KR1a0042,易圖說,Yì tú shuō,Diagrammatic Discussion of the Yì,1180,1210,
KR1a0043,古周易,Gǔ Zhōuyì,The Ancient Zhōuyì,1170,1181,
KR1a0044,易傳燈,Yì chuán dēng,The Yì-Lamp Transmission,1225,1255,
KR1a0045,易裨傳,Yì bì zhuàn,Auxiliary Tradition on the Yì,1180,1200,
KR1a0046,厚齋易學,Hòuzhāi Yì xué,Master Hòu-zhāi's Yì-Studies,1190,1217,
KR1a0047,童溪易傳,Tóngxī Yì zhuàn,Master Tóng-xī's Tradition on the Yì,1184,1186,
KR1a0048,周易總義,Zhōuyì zǒng yì,General Meanings of the Zhōuyì,1200,1228,
KR1a0049,西谿易說,Xīxī Yì shuō,Master Xī-xī's Yì-Discussions,1180,1198,
KR1a0050,丙子學易編,Bǐngzǐ Xué Yì biān,The Bǐng-zǐ-Year Yì-Studies Compilation,1216,1216,
KR1a0051,易通,Yì tōng,Yì-Penetration,1241,1246,
KR1a0052,周易卦爻經傳訓解,Zhōuyì guàyáo jīngzhuàn xùnjiě,Glosses on the Hexagram-and-Line Canon-and-Commentary of the Zhōuyì,1190,1205,
KR1a0053,易象意言,Yì xiàng yì yán,Discussions on the Meaning of the Yì's Imagery,1200,1230,
KR1a0054,周易要義,Zhōuyì yào yì,Essentials of the Zhōuyì,1225,1237,
KR1a0055,易翼傳,Yì yì zhuàn,Wing-Tradition on the [Chéng-Yí] Yì-Tradition,1190,1200,
KR1a0056,文公易說,Wéngōng Yì shuō,Master Wéngōng [Zhū Xī]'s Yì-Discussions,1230,1258,
KR1a0057,易學啟蒙小傳,Yì xué qǐméng xiǎo zhuàn,Minor Tradition on the Yì-Studies Beginner's Primer,1248,1248,
KR1a0058,周易輯聞,Zhōuyì jí wén,Compiled-Hearings on the Zhōuyì,1250,1265,
KR1a0059,用易詳解,Yòng Yì xiáng jiě,Detailed Glosses on the Use of the Yì,1203,1203,
KR1a0060,淙山讀周易,Cóngshān dú Zhōuyì,Reading the Zhōuyì at Cóngshān,1255,1258,
KR1a0061,周易傳義附錄,Zhōuyì zhuànyì fù lù,Appended Records to the Zhōuyì Tradition-and-Meaning [of Chéng Yí and Zhū Xī],1260,1266,
KR1a0062,易學啟蒙通釋,Yì xué qǐméng tōng shì,Comprehensive Glosses on the Yì-Studies Beginner's Primer,1280,1289,
KR1a0063,三易備遺,Sān Yì bèi yí,Supplying-the-Lost on the Three Yì's,1265,1270,
KR1a0064,周易集說,Zhōuyì jí shuō,Collected Expositions on the Zhōuyì,1268,1296,
KR1a0065,讀易舉要,Dú Yì jǔ yào,Reading-the-Yì Selected Essentials,1280,1310,
KR1a0066,易象義,Yì xiàng yì,Yì-Imagery Meanings,1290,1294,
KR1a0067,易圖通變,Yì tú tōng biàn,Comprehensive Variations on Yì-Diagrams,1295,1300,
KR1a0068,讀易私言,Dú Yì sī yán,Personal Words on Reading the Yì,1259,1281,
KR1a0069,易附錄纂註,Yì fùlù zuǎn zhù,Appended-Records and Compiled-Glosses on the Yì,1280,1310,
KR1a0070,周易啟蒙翼傳,Zhōuyì qǐméng yì zhuàn,Wing-Tradition on the Zhōuyì Beginner's Primer,1290,1310,
KR1a0071,易纂言,Yì zuǎn yán,Compiled Words on the Yì,1290,1330,
KR1a0072,易纂言外翼,Yì zuǎn yán wài yì,Outer Wings to the Yì zuǎn yán,1290,1330,
KR1a0073,易源奧義,Yì yuán ào yì,Profound-Meanings on the Yì's Source,1290,1310,
KR1a0074,周易程朱傳義折衷,Zhōuyì ChéngZhū zhuànyì zhézhōng,Balanced-Selection of the Chéng-Yí Tradition and the Zhū-Xī Meaning of the Zhōuyì,1290,1320,
KR1a0075,周易衍義,Zhōuyì yǎn yì,Extending-the-Meaning of the Zhōuyì,1305,1315,
KR1a0076,易學濫觴,Yì xué làn shāng,The Source-Streams of Yì-Studies,1310,1320,
KR1a0077,大易緝說,Dà Yì jí shuō,Compiled-Discussions on the Great Yì,1275,1303,
KR1a0078,周易本義通釋,Zhōuyì běnyì tōngshì,Comprehensive Exposition of the Original Meaning of the Zhōu Changes,1300,1333,
KR1a0079,周易本義集成,Zhōuyì běnyì jíchéng,Collected Achievement of the Original Meaning of the Zhōu Changes,1311,1322,
KR1a0080,大易象數鉤深圖,Dàyì xiàngshù gōushēn tú,Charts Probing the Depths of the Symbols and Numerologies of the Great Changes,1190,1320,
KR1a0081,學易記,Xué Yì jì,Records of Studying the Changes,1248,1260,
KR1a0082,周易集傳,Zhōuyì jízhuàn,Collected Commentary on the Zhōu Changes,1300,1321,
KR1a0083,讀易考原,Dú Yì kǎoyuán,An Inquiry into the Origins for Reading the Changes,1324,1328,
KR1a0084,易精蘊大義,Yì jīngyùn dàyì,The Great Meaning of the Refined Treasures of the Changes,1329,1368,
KR1a0085,易學變通,Yìxué biàntōng,The Penetration of Variation in the Learning of the Changes,1331,1352,
KR1a0086,周易會通,Zhōuyì huìtōng,Convergence and Penetration of the Zhōu Changes,1328,1334,
KR1a0087,周易圖說,Zhōuyì túshuō,Charts and Discussions on the Zhōu Changes,1346,1346,
KR1a0088,周易爻變易縕,Zhōuyì yáobiàn yìyùn,The Hidden Treasures of the Changes through Line-Variation in the Zhōu Yì,1345,1346,
KR1a0089,周易參義,Zhōuyì cān yì,Combined Meanings of the Zhōu Changes,1340,1340,
KR1a0090,周易文詮,Zhōuyì wénquán,Textual Exegesis of the Zhōu Changes,1340,1369,
KR1a0091,周易傳義大全,Zhōuyì zhuànyì dàquán,The Great Compendium of Commentary and Meaning on the Zhōu Changes,1414,1415,
KR1a0092,易經蒙引,Yìjīng méng yǐn,Introductory Pulling of the Classic of Changes,1484,1508,
KR1a0093,讀易餘言,Dú Yì yú yán,Surplus Words on Reading the Changes,1540,1540,
KR1a0094,啟蒙意見,Qǐméng yìjiàn,Opinions on the *Qǐméng*,1503,1503,
KR1a0095,易經存疑,Yìjīng cún yí,Preserved Doubts on the Classic of Changes,1541,1542,
KR1a0096,周易辯錄,Zhōuyì biàn lù,Discriminative Notes on the Zhōu Changes,1541,1545,
KR1a0097,易像鈔,Yì xiàng chāo,Transcribed Symbols of the Changes,1455,1484,
KR1a0098,周易象旨決錄,Zhōuyì xiàngzhǐ juélù,Definitive Record of the Symbolic Import of the Zhōu Changes,1541,1560,
KR1a0099,易象鈎解,Yì xiàng gōu jiě,Hooks and Glosses on the Symbols of the Changes,1544,1580,
KR1a0100,周易集註,Zhōuyì jí zhù,Collected Commentary on the Zhōu Changes,1570,1598,
KR1a0101,讀易紀聞,Dú yì jì wén,Recorded Hearings on Reading the Changes,1555,1580,
KR1a0102,葉八白易傳,Yè Bābái yì zhuàn,Yè Bābái's Commentary on the Changes,1552,1560,
KR1a0103,讀易述,Dú Yì shù,Recordings on Reading the Changes,1590,1600,
KR1a0104,像象管見,Xiàng xiàng guǎn jiàn,Limited Views on Imaging the Symbols,1583,1604,
KR1a0105,周易劄記,Zhōuyì zhájì,Notebook on the Zhōu Changes,1586,1610,
KR1a0106,周易易簡說,Zhōuyì yìjiǎn shuō,Discourse on the Easy and Simple of the Zhōu Changes,1589,1626,
KR1a0107,易義古象通,Yì yì gǔ xiàng tōng,Penetration of the Ancient Symbols of the Meanings of the Changes,1604,1620,
KR1a0108,周易像象述,Zhōuyì xiàng xiàng shù,Recital of Imaging the Symbols of the Zhōu Changes,1610,1625,
KR1a0109,易用,Yì yòng,The Application of the Changes,1600,1640,
KR1a0110,易象正,Yì xiàng zhèng,Rectifying the Symbols of the Changes,1640,1646,
KR1a0111,兒易內儀以,Ér yì nèi yí yǐ,"Childlike Changes -- Inner Standard, the ""By""",1635,1644,
KR1a0112,卦變考略,Guà biàn kǎo lüè,A Brief Examination of Hexagram-Variation,1643,1643,
KR1a0113,古周易訂詁,Gǔ Zhōuyì dìng gǔ,Settled Glosses on the Ancient Zhōuyì,1633,1633,
KR1a0114,周易玩辭困學記,Zhōuyì wàn cí kùn xué jì,Records of Savoring the Words and Studying-in-Straits the Zhōu Changes,1640,1670,
KR1a0115,易經通注,Yìjīng tōngzhù,Comprehensive Commentary on the Classic of Changes,1656,1657,
KR1a0116,日講易經解義,Rì jiǎng Yìjīng jiěyì,Daily-Lecture Explication of the Yìjīng,1680,1684,
KR1a0117,御纂周易折中,Yù zuàn Zhōuyì zhé zhōng,Imperial Compilation -- Balanced Adjudication of the Zhōu Changes,1713,1715,
KR1a0118,御纂周易述義,Yù zuàn Zhōuyì shù yì,Imperial Compilation -- Recital of the Meaning of the Zhōuyì,1755,1755,
KR1a0119,讀易大旨,Dú Yì dà zhǐ,The Great Import of Reading the Changes,1645,1675,
KR1a0120,周易稗疏,Zhōuyì bài shū,Stalk-Glosses on the Zhōuyì,1650,1692,
KR1a0121,易酌,Yì zhuó,Pondering the Changes,1645,1669,
KR1a0122,田間易學,Tián jiān yì xué,Field-Side Yì Learning,1650,1693,
KR1a0123,易學象數論,Yì xué xiàng shù lùn,Discussions on the Symbols and Numbers of Yì-Learning,1655,1690,
KR1a0124,周易象辭,Zhōuyì xiàng cí,Symbol-and-Word on the Zhōuyì,1660,1686,
KR1a0125,周易筮述,Zhōuyì shì shù,Recital of Milfoil-Divination on the Zhōuyì,1670,1700,
KR1a0126,仲氏易,Zhòngshì Yì,The Yì of the Second-Eldest [Brother],1685,1700,
KR1a0127,推易始末,Tuī yì shǐ mò,The Beginning-and-End of Pushing the Yì,1685,1716,
KR1a0128,春秋占筮書,Chūnqiū zhàn shì shū,The Book of Spring-and-Autumn Divinations,1685,1716,
KR1a0129,易小帖,Yì xiǎo tiē,Small Slips on the Yì,1690,1716,
KR1a0130,易俟,Yì sì,Awaiting [Future Verification of] the Yì,1670,1694,
KR1a0131,讀易日鈔,Dú Yì rì chāo,Daily Transcribed Notes on Reading the Yì,1670,1685,
KR1a0132,周易通論,Zhōuyì tōng lùn,Penetrating Discussions on the Zhōuyì,1690,1718,
KR1a0133,周易觀彖,Zhōuyì guān tuàn,Observing the Tuàn of the Zhōuyì,1685,1715,
KR1a0134,周易淺述,Zhōuyì qiǎn shù,A Plain Account of the Zhōuyì,1694,1694,
KR1a0135,易原就正,Yì yuán jiù zhèng,Approaching Correctness on the Origin of the Yì,1670,1685,
KR1a0136,大易通解,Dà Yì tōng jiě,Comprehensive Glosses on the Great Yì,1720,1730,
KR1a0137,易經衷論,Yìjīng zhōng lùn,Heart-Discussions on the Yìjīng,1670,1708,
KR1a0138,易圖明辨,Yì tú míng biàn,Clarifying-and-Discriminating the Charts of the Yì,1700,1706,
KR1a0139,合訂刪補大易集義粹言,Hé dìng shān bǔ Dà Yì jí yì cuì yán,"Combined-and-Edited, Pruned-and-Supplemented Collected-Meanings and Distilled-Words on the Great Yì",1675,1685,
KR1a0140,周易傳註,Zhōuyì zhuàn zhù,Commentary and Notes on the Zhōuyì,1703,1712,
KR1a0141,周易劄記,Zhōuyì zhájì,Notebook on the Zhōuyì,1715,1736,
KR1a0142,周易傳義合訂,Zhōuyì zhuàn yì hé dìng,A Combined Edition of the Commentary [Yìchuán] and the Meanings [Běnyì],1700,1736,
KR1a0143,周易玩辭集解,Zhōuyì wàn cí jí jiě,Collected Glosses on Savoring the Words of the Zhōuyì,1700,1724,
KR1a0144,惠氏易說,Huìshì Yì shuō,The Huì-Family Discourse on the Yì,1710,1741,
KR1a0145,周易函書約存,Zhōuyì hán shū yuē cún,The Surviving Distillation of the Containing-Book on the Zhōuyì,1700,1736,
KR1a0146,易箋,Yì jiān,Slips on the Yì,1715,1740,
KR1a0147,學易初津,Xué Yì chū jīn,The Initial Ferry-Bridge to Studying the Yì,1721,1755,
KR1a0148,易翼宗,Yì yì zōng,Revering the Wings of the Yì,1721,1755,
KR1a0149,易翼說,Yì yì shuō,Discourse on the Wings of the Yì,1721,1755,
KR1a0150,周易孔義集說,Zhōuyì kǒng yì jí shuō,Collected Discourses on the Confucian-Wing Meanings of the Zhōuyì,1721,1760,
KR1a0151,易翼述信,Yì yì shù xìn,Faithfully Recital of the Wings of the Yì,1737,1760,
KR1a0152,周易淺釋,Zhōuyì qiǎn shì,A Plain Glossing of the Zhōuyì,1730,1752,
KR1a0153,周易洗心,Zhōuyì xǐ xīn,Washing the Heart through the Zhōuyì,1733,1744,
KR1a0154,豐川易說,Fēngchuān Yì shuō,Fēngchuān's Discourse on the Yì,1690,1738,
KR1a0155,周易述,Zhōuyì shù,Recital of the Zhōuyì,1740,1758,
KR1a0156,易漢學,Yì Hàn xué,The Hàn-Learning of the Yì,1730,1758,
KR1a0157,易例,Yì lì,Examples of the Yì,1740,1758,
KR1a0158,易象大意存解,Yì xiàng dà yì cún jiě,The Surviving Glosses on the Great Meanings of the Yì-Symbols,1740,1780,
KR1a0159,大易擇言,Dà Yì zé yán,Selected Words on the Great Yì,1735,1767,
KR1a0160,周易辨畫,Zhōuyì biàn huà,Discriminating the Strokes of the Zhōuyì,1740,1779,
KR1a0161,周易圖書質疑,Zhōuyì tú shū zhì yí,Inquiring Into the Charts-and-Writings of the Zhōuyì,1741,1781,
KR1a0162,周易章句證異,Zhōuyì zhāng jù zhèng yì,Verifying the Variants in the Chapter-and-Phrase of the Zhōuyì,1765,1765,
KR1a0163,乾坤鑿度,Qián Kūn záo dù,The Chiseled Way of Qián and Kūn,100,1100,
KR1a0164,易緯稽覽圖,Yì wěi jī lǎn tú,Examining-Charts of the Apocryphal Yì,100,600,
KR1a0165,易緯辨終備,Yì wěi biàn zhōng bèi,The Apocryphal Yì on Discriminating-the-End and Preparedness,100,600,
KR1a0166,周易乾鑿度,Zhōuyì Qián záo dù,The Chiseled Way of the Qián [Hexagram] of the Zhōuyì,100,600,
KR1a0167,易緯通卦驗,Yì wěi tōng guà yàn,The Apocryphal Yì on Penetrating-Hexagrams and Verifying,100,600,
KR1a0168,易緯乾元序制記,Yì wěi Qián yuán xù zhì jì,The Apocryphal Yì on the Sequencing-and-Setting Records of Qián's Source,100,600,
KR1a0169,易緯是類謀,Yì wěi shì lèi móu,The Apocryphal Yì on Such-And-Such-Class Stratagems,100,600,
KR1a0170,易緯坤靈圖,Yì wěi Kūn líng tú,The Apocryphal Yì on the Spirit-Charts of Kūn,100,600,
KR1a0171,山墳,Shān fén,The Mountain Mound (Liánshān Yì of Fú Xī),1078,1085,
KR1a0172,周易略例,Zhōu Yì lüè lì,Brief Exemplary Schemata of the Zhōu Yì,244,249,
KR1a0173,周易卦序論,Zhōu Yì guà xù lùn,Discussion of the Hexagram Sequence of the Zhōu Yì,280,420,
KR1a0175,周易繫辭明氏注,Zhōu Yì xìcí Míng shì zhù,Mr Míng's Notes on the Xìcí of the Zhōu Yì,460,483,
KR1b,,,,,,
KR1b0001,尚書(正文),Shàngshū,The Documents of Antiquity,-1000,100,
KR1b0002,尚書,Shàngshū (Sìbù cóngkān SBCK recension),The Documents of Antiquity (Sìbù cóngkān edition with Kǒng Ānguó zhuàn and Lù Démíng yīn yì),-100,700,
KR1b0003,尚書正義,Shàngshū zhèng yì,The Correct Meanings of the Shàngshū,642,653,
KR1b0004,尚書注疏,Shàngshū zhùshū,The Shàngshū with Notes and Subcommentary (Sìkù integrated edition),642,1773,
KR1b0005,洪範口義,Hóngfàn kǒu yì,The Oral Gloss on the Hóngfàn,1020,1059,
KR1b0006,書傳,Shū zhuàn,Commentary on the Book [of Documents],1080,1101,
KR1b0007,尚書全解,Shàngshū quán jiě,The Complete Glossing of the Shàngshū,1140,1176,
KR1b0008,禹貢指南,Yǔ gòng zhǐ nán,A Compass for the Tribute of Yǔ,1150,1180,
KR1b0009,禹貢論,Yǔ gòng lùn,Discussions on the Tribute of Yǔ,1170,1195,
KR1b0010,尚書講義,Shàngshū jiǎng yì,Lecture-Meanings on the Shàngshū,1150,1194,
KR1b0011,尚書詳解,Shàngshū xiángjiě,A Detailed Exposition of the Book of Documents,1170,1189,
KR1b0012,禹貢說斷,Yǔ gòng shuō duàn,"Discriminating Explanations of the ""Tribute of Yǔ""",1180,1215,
KR1b0013,增修東萊書說,Zēngxiū Dōnglái shū shuō,"Augmented and Revised ""Dōnglái's Discourses on the Documents""",1175,1207,
KR1b0014,尚書說,Shàngshū shuō,Discourses on the Documents,1190,1213,
KR1b0015,五誥解,Wǔ gào jiě,An Exposition of the Five Proclamations,1180,1225,
KR1b0016,絜齋家塾書鈔,Jiézhāi jiāshú shūchāo,Family School Notes of the Jiézhāi Studio,1200,1231,
KR1b0017,書經集傳,Shū jīng jízhuàn,Collected Commentary on the Classic of Documents,1199,1209,
KR1b0018,尚書精義,Shàngshū jīng yì,The Refined Meanings of the Documents,1175,1180,
KR1b0019,陳氏尚書詳解,Chénshì Shàngshū xiángjiě,Mr Chén's Detailed Exposition of the Documents,1200,1230,
KR1b0020,融堂書解,Róngtáng shū jiě,Master Róngtáng's Exposition of the Documents,1210,1244,
KR1b0021,洪範統一,Hóng fàn tǒng yī,"The Unity of the ""Great Plan""",1207,1207,
KR1b0022,尚書要義,Shàngshū yàoyì,Essentials of the Documents,1233,1235,
KR1b0023,書集傳或問,Shū jízhuàn huò wèn,Doubtful Questions on the Collected Commentary on the Documents,1230,1260,
KR1b0024,胡氏尚書詳解,Húshì Shàngshū xiángjiě,Mr Hú's Detailed Exposition of the Documents,1240,1279,
KR1b0025,尚書表注,Shàngshū biǎozhù,Tabular Annotation of the Documents,1285,1303,
KR1b0026,書纂言,Shū zuǎn yán,Compiled Words on the Documents,1300,1331,
KR1b0027,書集傳纂疏,Shū jízhuàn zuǎnshū,"Compiled Subcommentary on the ""Collected Commentary on the Documents""",1314,1334,
KR1b0028,讀書叢說,Dúshū cóng shuō,Miscellaneous Discourses on Reading the Documents,1320,1337,
KR1b0029,書傳輯錄纂註,Shū zhuàn jí lù zuǎn zhù,"Compiled Records and Annotations on the ""Commentary on the Documents""",1290,1330,
KR1b0030,尚書通考,Shàngshū tōngkǎo,A General Investigation of the Documents,1325,1330,
KR1b0031,書蔡氏傳旁通,Shū Càishì zhuàn pángtōng,Lateral Connections to Mr Cài's Commentary on the Documents,1318,1321,
KR1b0032,讀書管見,Dúshū guǎnjiàn,Notes on Reading the Documents Through a Limited Aperture,1333,1350,
KR1b0033,書義斷法,Shū yì duànfǎ,Methods for Composing Examination Essays on the Documents,1320,1360,
KR1b0034,尚書纂傳,Shàngshū zuǎn zhuàn,Compiled Commentary on the Documents,1283,1298,
KR1b0035,尚書句解,Shàngshū jù jiě,Line-by-Line Glosses on the Documents,1330,1360,
KR1b0036,書傳會選,Shū zhuàn huì xuǎn,Selected Compilation of Documents Commentary,1394,1394,
KR1b0037,書經大全,Shū jīng dàquán,The Comprehensive Compendium on the Documents Classic,1414,1415,
KR1b0038,尚書考異,Shàngshū kǎo yì,An Investigation of Variants in the Documents,1520,1545,
KR1b0039,尚書疑義,Shàngshū yí yì,Doubtful Meanings in the Documents,1530,1542,
KR1b0040,尚書日記,Shàngshū rìjì,Daily Notes on the Documents,1580,1595,
KR1b0041,尚書砭蔡編,Shàngshū biān cài biān,Lancing Cài on the Documents,1540,1580,
KR1b0042,尚書注考,Shàngshū zhù kǎo,Notes Investigating the Documents Commentary,1580,1620,
KR1b0043,尚書疏衍,Shàngshū shū yǎn,Subcommentary and Elaborations on the Documents,1590,1617,
KR1b0044,洪範明義,Hóng fàn míng yì,"The Manifest Meanings of the ""Great Plan""",1635,1637,
KR1b0045,日講書經解義,Rì jiǎng Shū jīng jiě yì,Daily-Lecture Exposition of the Documents Classic,1678,1680,
KR1b0046,欽定書經傳說彙纂,Qīndìng Shū jīng zhuàn shuō huì zuǎn,Imperially Authorized Compendium of Documents-Classic Commentaries and Discourses,1715,1730,
KR1b0047,尚書稗疏,Shàngshū bài shū,Tares-and-Weeds Subcommentary on the Documents,1670,1692,
KR1b0048,尚書古文疏證,Shàngshū gǔwén shū zhèng,Sub-commentary and Verification of the Old-Text Documents,1670,1704,
KR1b0049,古文尚書冤詞,Gǔwén Shàngshū yuān cí,Lament-and-Plea for the Old-Text Documents,1690,1716,
KR1b0050,尚書廣聽錄,Shàngshū guǎng tīng lù,Records for Broadening Hearing on the Documents,1700,1716,
KR1b0051,尚書埤傳,Shàngshū bì zhuàn,Supplementary Commentary on the Documents,1660,1683,
KR1b0052,禹貢長箋,Yǔ gòng cháng jiān,"Long Notes on the ""Tribute of Yǔ""",1665,1683,
KR1b0053,禹貢錐指,Yǔ gòng zhuīzhǐ,"Pierce-the-Pointer Investigation of the ""Tribute of Yǔ""",1685,1705,
KR1b0054,洪範正論,Hóng fàn zhèng lùn,"Authoritative Discourse on the ""Great Plan""",1690,1710,
KR1b0055,尚書七篇解義,Shàngshū qī piān jiě yì,Exposition of the Meanings of Seven Documents Chapters,1690,1718,
KR1b0056,書經衷論,Shū jīng zhōng lùn,Heart-Felt Discourses on the Documents Classic,1680,1682,
KR1b0057,尚書地理今釋,Shàngshū dìlǐ jīn shì,Modern Identifications of Documents-Geography,1715,1730,
KR1b0058,禹貢會箋,Yǔ gòng huì jiān,"Synthesizing Notes on the ""Tribute of Yǔ""",1700,1750,
KR1b0059,尚書大傳,Shàngshū dàzhuàn,The Greater Commentary on the Documents,-150,200,
KR1b0060,書義矜式,Shū yì jīn shì,Dignified Models for Documents-Examination Essays,1334,1370,
KR1b0061,古文尚書音,Gǔwén Shàngshū yīn,Phonological Glosses on the Old-Text Shàngshū,372,397,
KR1c,,,,,,
KR1c0001,毛詩(正文),Máoshī (zhèngwén),The Mao Recension of the Classic of Poetry — Main Text Only,-1000,-600,
KR1c0002,毛詩,Máoshī,The Mao Recension of the Classic of Poetry,100,627,
KR1c0003,詩序,Shīxù,Prefaces to the Mao Recension of the Classic of Poetry,-200,1200,
KR1c0004,毛詩注疏,Máoshī zhùshū,"The Mao Recension of the Classic of Poetry, with Annotations and Sub-Commentary",642,653,
KR1c0005,毛詩草木鳥獸蟲魚疏,Máoshī cǎomù niǎoshòu chóngyú shū,"A Sub-Commentary on the Plants, Trees, Birds, Beasts, Insects, and Fish of the Mao Recension of the Classic of Poetry",220,280,
KR1c0006,陸氏詩疏廣要,Lùshì shī shū guǎngyào,"Mr. Lu's Sub-Commentary on the Classic of Poetry, Expanded with Essentials",1620,1659,
KR1c0007,毛詩指說,Máoshī zhǐshuō,Pointing Out the Meaning of the Mao Recension of the Classic of Poetry,750,850,
KR1c0008,詩本義,Shī běnyì,The Original Meaning of the Classic of Poetry,1050,1072,
KR1c0009,詩集傳,Shī jí zhuàn,A Collected Commentary on the Classic of Poetry,1177,1186,
KR1c0010,蘇氏詩集傳,Sūshì shī jí zhuàn,Mr. Sū's Collected Commentary on the Classic of Poetry,1080,1112,
KR1c0011,毛詩名物解,Máoshī míngwù jiě,Explanation of the Names and Things in the Mao Recension of the Classic of Poetry,1080,1117,
KR1c0012,毛詩李黃集解,Máoshī LǐHuáng jíjiě,Lǐ and Huáng's Joint Commentary on the Mao Recension of the Classic of Poetry,1175,1250,
KR1c0013,詩補傳,Shī bǔ zhuàn,Supplementary Commentary on the Classic of Poetry,1155,1200,
KR1c0014,詩總聞,Shī zǒngwén,Comprehensive Hearings on the Classic of Poetry,1160,1189,
